"Gemeenten";"energy";"electricity";"warmth";"transport"
"Woerden";4,8;8,0;2,3;6,0
"Wormerland";4,1;3,1;2,4;5,9
"Woudenberg";6,7;9,5;6,6;6,0
"Zaanstad";3,6;6,0;2,1;5,7
"Zaltbommel";"?";3,1;"?";4,4
"Zandvoort";2,8;2,2;2,4;5,9
"Zeewolde";100,8;355,9;4,8;5,7
"Zeist";3,9;3,8;2,2;6,0
"Zevenaar";5,4;5,9;5,1;5,7
"Zoetermeer";"?";5,8;"?";5,9
"Zoeterwoude";"?";31,2;"?";5,9
"Zuidplas";3,5;5,1;2,1;5,9
"Zundert";5,8;8,1;4,9;5,9
"Zutphen";5,4;9,0;3,2;5,6
"Zwartewaterland";7,7;6,8;9,3;5,5
"Zwijndrecht";2,5;3,2;1,5;4,2
"Zwolle";7,2;11,0;6,3;5,9
"Gemeente onbekend";0,0;"";"-";0,0
